wall_thickness,draft_angle,corner_radius,aspect_ratio,undercut_present,wall_uniformity,material,risk_score,failure
0.5,1.395,1.021,3.632,0,0.589,TPU,46.6,1
0.823,0.476,1.428,3.495,0,0.713,Nylon,60.58,1
1.192,0.012,0.861,4.582,1,0.421,TPU,65.29,1
0.505,1.884,1.547,11.241,0,0.83,TPU,54.26,1
1.073,1.502,0.629,1.966,0,0.638,ABS,47.44,1
3.484,0.047,1.502,5.137,1,0.758,TPU,51.32,1
2.787,1.402,0.323,2.01,1,0.677,PP,75.61,1
2.144,0.504,0.492,3.799,1,0.743,ABS,68.04,1
1.084,1.428,1.138,4.139,0,0.688,Nylon,46.36,1
0.943,2.158,0.608,3.933,1,0.824,PC,71.36,1
2.669,1.869,0.687,12.518,1,0.517,ABS,60.61,1
5.873,1.818,1.234,5.542,0,0.631,PP,29.35,0
2.349,1.442,0.519,5.001,1,0.85,PC,33.48,0
1.037,2.347,0.292,4.312,1,0.826,PC,45.13,1
4.875,2.397,0.896,6.877,0,0.712,PP,0.75,0
1.99,1.566,1.261,3.145,1,0.772,PC,37.8,0
2.172,1.145,0.938,10.339,1,0.617,PC,58.93,1
5.128,1.692,0.434,6.11,0,0.616,PP,45.15,1
2.071,0.013,0.509,6.412,0,0.688,Nylon,35.23,0
5.938,1.469,0.867,3.209,1,0.797,PP,75.73,1
3.076,1.168,0.185,8.159,0,0.732,PP,38.14,0
1.173,2.096,0.408,2.732,0,0.664,PP,63.49,1
1.981,1.912,1.735,14.991,1,0.74,PC,56.31,1
0.767,2.127,1.715,2.831,0,0.681,PC,42.09,0
3.065,1.887,0.833,2.117,0,0.849,PP,0.0,0
4.766,0.527,0.661,14.993,1,0.655,ABS,100.0,1
4.023,1.311,1.285,2.368,1,0.684,Nylon,62.8,1
2.221,1.274,0.549,2.008,0,0.745,Nylon,0.0,0
3.602,0.291,0.427,3.225,0,0.751,PC,60.18,1
5.617,1.707,0.961,3.912,0,0.765,PP,14.48,0
0.684,1.704,0.42,4.498,0,0.906,PP,54.42,1
2.511,0.732,0.969,7.613,1,0.452,Nylon,45.11,1
2.914,1.994,1.356,7.109,0,0.838,PP,0.0,0
4.381,1.365,0.755,5.939,1,0.894,PC,44.93,0
1.114,1.931,0.505,5.171,0,0.905,ABS,57.22,1
4.871,1.27,0.313,4.115,1,0.758,ABS,58.19,1
0.915,1.363,0.581,3.339,0,0.784,PP,63.55,1
2.967,1.579,0.719,3.21,1,0.568,PP,33.8,0
2.434,1.395,0.875,1.0,1,0.622,PC,39.68,0
1.971,0.329,1.308,8.523,0,0.923,Nylon,19.93,0
1.571,1.244,1.452,2.376,1,0.614,PP,63.86,1
4.674,0.943,0.758,2.751,0,0.538,ABS,54.18,1
0.977,0.446,0.909,8.409,0,0.816,Nylon,63.87,1
5.161,1.327,0.331,9.184,1,0.829,ABS,58.72,1
2.24,0.099,1.117,3.36,0,0.494,Nylon,39.58,0
0.5,1.0,0.732,3.105,0,0.505,PC,74.62,1
1.592,2.236,0.741,7.078,1,0.581,PP,46.97,1
2.071,1.167,1.415,4.944,0,0.739,Nylon,0.0,0
1.463,2.992,0.372,2.986,0,0.749,PP,57.12,1
4.822,2.082,1.019,3.399,0,0.7,PP,8.01,0
3.227,1.405,0.677,3.467,0,0.8,PC,0.9,0
2.804,1.828,0.351,8.021,0,0.481,ABS,34.09,0
3.089,1.107,0.599,5.687,0,0.453,PP,43.4,0
5.986,1.388,0.175,9.893,1,0.749,TPU,43.56,0
3.259,1.222,0.502,14.987,1,0.838,TPU,63.67,1
2.49,0.965,1.509,1.298,1,0.822,ABS,56.36,1
1.962,1.125,0.755,8.79,1,0.836,Nylon,31.6,0
0.504,0.563,0.992,14.983,1,0.741,Nylon,86.5,1
5.521,1.596,0.693,3.684,0,0.571,PP,33.23,0
2.858,2.515,0.323,4.339,0,0.918,PP,11.65,0
1.466,0.463,0.312,6.449,1,0.768,ABS,100.0,1
3.622,1.223,1.01,6.141,1,0.711,PP,54.35,1
0.5,0.078,1.442,4.691,0,0.821,TPU,67.06,1
2.113,1.968,0.961,3.83,1,0.687,PC,47.91,1
0.847,2.366,1.717,5.771,0,0.274,PP,51.49,1
1.471,2.08,0.847,6.005,1,0.376,PP,82.13,1
1.948,0.35,1.282,4.21,0,0.712,Nylon,27.32,0
2.426,1.446,1.66,4.057,0,0.748,ABS,2.42,0
2.174,0.887,0.582,3.07,1,0.448,PC,61.62,1
0.772,1.037,1.379,6.008,0,0.593,ABS,47.13,1
3.069,1.67,0.1,4.475,0,0.722,ABS,20.09,0
0.648,1.677,1.353,4.112,1,0.498,PP,84.19,1
1.623,0.953,1.133,1.008,1,0.771,Nylon,21.7,0
1.07,2.639,0.998,2.431,1,0.658,PP,72.23,1
0.511,1.956,0.311,15.0,0,0.91,PC,78.11,1
4.837,0.827,0.422,6.348,1,0.711,Nylon,64.54,1
6.0,0.976,1.568,5.994,1,0.679,TPU,38.94,0
4.023,1.063,1.053,3.927,0,0.716,Nylon,19.68,0
1.388,1.579,1.316,2.675,0,0.814,ABS,32.93,0
1.165,2.839,0.776,4.883,0,0.861,PP,41.11,0
1.427,0.965,1.802,4.626,0,0.563,PP,75.84,1
0.899,2.386,1.021,3.341,1,0.856,PP,74.55,1
3.153,0.705,0.579,4.895,1,0.712,ABS,53.52,1
2.946,2.311,0.583,5.725,0,0.542,ABS,8.98,0
3.718,0.186,0.66,3.469,1,0.684,TPU,69.05,1
0.827,0.005,0.786,7.118,0,0.876,TPU,63.82,1
4.808,0.815,1.578,3.534,0,0.847,PP,26.71,0
2.437,1.553,0.55,4.834,1,0.507,ABS,47.9,1
5.012,1.651,1.114,9.825,1,0.713,PP,50.72,1
3.346,0.0,0.701,2.496,1,0.821,Nylon,63.19,1
0.646,0.0,1.477,3.875,0,0.754,TPU,68.03,1
0.872,1.582,0.543,1.665,0,0.319,ABS,50.64,1
2.297,0.922,1.026,5.334,0,0.922,Nylon,9.06,0
2.76,0.101,0.818,4.704,1,0.62,TPU,57.23,1
3.263,1.136,0.542,4.175,1,0.366,ABS,32.5,0
